Sample in Buffer,Sample in Window,TRIGGER,u_FFT_Top/current_state[2:0],u_FFT_Top/next_state[2:0],u_FFT_Top/row_count[3:0],u_FFT_Top/col_count[7:0],u_FFT_Top/data_count[7:0],u_FFT_Top/ram_we,u_FFT_Top/s_axis_data_tvalid,u_FFT_Top/s_axis_data_tready,u_FFT_Top/fft_256_valid_out,u_FFT_Top/fft_256_ready_out,u_FFT_Top/fft_16_valid_out_1,u_FFT_Top/fft_16_ready_in
267,267,0,1,1,f,00,b1,0,1,0,1,0,0,1
268,268,0,1,1,f,00,b2,0,1,0,1,0,0,1
269,269,0,1,1,f,00,b3,0,1,0,1,0,0,1
270,270,0,1,1,f,00,b4,0,1,1,1,1,0,1
271,271,0,1,1,f,00,b5,1,1,0,1,1,0,1
272,272,0,1,1,f,00,b5,1,1,0,1,1,0,1
273,273,0,1,1,f,00,b5,1,1,0,1,1,0,1
274,274,0,1,1,f,00,b5,1,1,0,1,1,0,1
275,275,0,1,1,f,00,b5,1,1,0,1,1,0,1
276,276,0,1,1,f,00,b5,1,1,0,1,1,0,1
277,277,0,1,1,f,00,b5,1,1,0,1,1,0,1
278,278,0,1,1,f,00,b5,1,1,0,1,1,0,1
279,279,0,1,1,f,00,b5,1,1,0,1,1,0,1
280,280,0,1,1,f,00,b5,1,1,0,1,0,0,1
281,281,0,1,1,f,00,b5,0,1,0,1,0,0,1
282,282,0,1,1,f,00,b6,0,1,0,1,0,0,1
283,283,0,1,1,f,00,b7,0,1,0,1,0,0,1
284,284,0,1,1,f,00,b8,0,1,0,1,0,0,1
285,285,0,1,1,f,00,b9,0,1,0,1,0,0,1
286,286,0,1,1,f,00,ba,0,1,0,1,0,0,1
287,287,0,1,1,f,00,bb,0,1,0,1,0,0,1
288,288,0,1,1,f,00,bc,0,1,0,1,0,0,1
289,289,0,1,1,f,00,bd,0,1,0,1,0,0,1
290,290,0,1,1,f,00,be,0,1,1,1,1,0,1
291,291,0,1,1,f,00,bf,1,1,0,1,1,0,1
292,292,0,1,1,f,00,bf,1,1,0,1,1,0,1
293,293,0,1,1,f,00,bf,1,1,0,1,1,0,1
294,294,0,1,1,f,00,bf,1,1,0,1,1,0,1
295,295,0,1,1,f,00,bf,1,1,0,1,1,0,1
296,296,0,1,1,f,00,bf,1,1,0,1,1,0,1
297,297,0,1,1,f,00,bf,1,1,0,1,1,0,1
298,298,0,1,1,f,00,bf,1,1,0,1,1,0,1
299,299,0,1,1,f,00,bf,1,1,0,1,1,0,1
300,300,0,1,1,f,00,bf,1,1,0,1,0,0,1
301,301,0,1,1,f,00,bf,0,1,0,1,0,0,1
302,302,0,1,1,f,00,c0,0,1,0,1,0,0,1
303,303,0,1,1,f,00,c1,0,1,0,1,0,0,1
304,304,0,1,1,f,00,c2,0,1,0,1,0,0,1
305,305,0,1,1,f,00,c3,0,1,0,1,0,0,1
306,306,0,1,1,f,00,c4,0,1,0,1,0,0,1
307,307,0,1,1,f,00,c5,0,1,0,1,0,0,1
308,308,0,1,1,f,00,c6,0,1,0,1,0,0,1
309,309,0,1,1,f,00,c7,0,1,0,1,0,0,1
310,310,0,1,1,f,00,c8,0,1,1,1,1,0,1
311,311,0,1,1,f,00,c9,1,1,0,1,1,0,1
312,312,0,1,1,f,00,c9,1,1,0,1,1,0,1
313,313,0,1,1,f,00,c9,1,1,0,1,1,0,1
314,314,0,1,1,f,00,c9,1,1,0,1,1,0,1
315,315,0,1,1,f,00,c9,1,1,0,1,1,0,1
316,316,0,1,1,f,00,c9,1,1,0,1,1,0,1
317,317,0,1,1,f,00,c9,1,1,0,1,1,0,1
318,318,0,1,1,f,00,c9,1,1,0,1,1,0,1
319,319,0,1,1,f,00,c9,1,1,0,1,1,0,1
320,320,0,1,1,f,00,c9,1,1,0,1,0,0,1
321,321,0,1,1,f,00,c9,0,1,0,1,0,0,1
322,322,0,1,1,f,00,ca,0,1,0,1,0,0,1
323,323,0,1,1,f,00,cb,0,1,0,1,0,0,1
324,324,0,1,1,f,00,cc,0,1,0,1,0,0,1
325,325,0,1,1,f,00,cd,0,1,0,1,0,0,1
326,326,0,1,1,f,00,ce,0,1,0,1,0,0,1
327,327,0,1,1,f,00,cf,0,1,0,1,0,0,1
328,328,0,1,1,f,00,d0,0,1,0,1,0,0,1
329,329,0,1,1,f,00,d1,0,1,0,1,0,0,1
330,330,0,1,1,f,00,d2,0,1,1,1,1,0,1
331,331,0,1,1,f,00,d3,1,1,0,1,1,0,1
332,332,0,1,1,f,00,d3,1,1,0,1,1,0,1
333,333,0,1,1,f,00,d3,1,1,0,1,1,0,1
334,334,0,1,1,f,00,d3,1,1,0,1,1,0,1
335,335,0,1,1,f,00,d3,1,1,0,1,1,0,1
336,336,0,1,1,f,00,d3,1,1,0,1,1,0,1
337,337,0,1,1,f,00,d3,1,1,0,1,1,0,1
338,338,0,1,1,f,00,d3,1,1,0,1,1,0,1
339,339,0,1,1,f,00,d3,1,1,0,1,1,0,1
340,340,0,1,1,f,00,d3,1,1,0,1,0,0,1
341,341,0,1,1,f,00,d3,0,1,0,1,0,0,1
342,342,0,1,1,f,00,d4,0,1,0,1,0,0,1
343,343,0,1,1,f,00,d5,0,1,0,1,0,0,1
344,344,0,1,1,f,00,d6,0,1,0,1,0,0,1
345,345,0,1,1,f,00,d7,0,1,0,1,0,0,1
346,346,0,1,1,f,00,d8,0,1,0,1,0,0,1
347,347,0,1,1,f,00,d9,0,1,0,1,0,0,1
348,348,0,1,1,f,00,da,0,1,0,1,0,0,1
349,349,0,1,1,f,00,db,0,1,0,1,0,0,1
350,350,0,1,1,f,00,dc,0,1,1,1,1,0,1
351,351,0,1,1,f,00,dd,1,1,0,1,1,0,1
352,352,0,1,1,f,00,dd,1,1,0,1,1,0,1
353,353,0,1,1,f,00,dd,1,1,0,1,1,0,1
354,354,0,1,1,f,00,dd,1,1,0,1,1,0,1
355,355,0,1,1,f,00,dd,1,1,0,1,1,0,1
356,356,0,1,1,f,00,dd,1,1,0,1,1,0,1
357,357,0,1,1,f,00,dd,1,1,0,1,1,0,1
358,358,0,1,1,f,00,dd,1,1,0,1,1,0,1
359,359,0,1,1,f,00,dd,1,1,0,1,1,0,1
360,360,0,1,1,f,00,dd,1,1,0,1,0,0,1
361,361,0,1,1,f,00,dd,0,1,0,1,0,0,1
362,362,0,1,1,f,00,de,0,1,0,1,0,0,1
363,363,0,1,1,f,00,df,0,1,0,1,0,0,1
364,364,0,1,1,f,00,e0,0,1,0,1,0,0,1
365,365,0,1,1,f,00,e1,0,1,0,1,0,0,1
366,366,0,1,1,f,00,e2,0,1,0,1,0,0,1
367,367,0,1,1,f,00,e3,0,1,0,1,0,0,1
368,368,0,1,1,f,00,e4,0,1,0,1,0,0,1
369,369,0,1,1,f,00,e5,0,1,0,1,0,0,1
370,370,0,1,1,f,00,e6,0,1,1,1,1,0,1
371,371,0,1,1,f,00,e7,1,1,0,1,1,0,1
372,372,0,1,1,f,00,e7,1,1,0,1,1,0,1
373,373,0,1,1,f,00,e7,1,1,0,1,1,0,1
374,374,0,1,1,f,00,e7,1,1,0,1,1,0,1
375,375,0,1,1,f,00,e7,1,1,0,1,1,0,1
376,376,0,1,1,f,00,e7,1,1,0,1,1,0,1
377,377,0,1,1,f,00,e7,1,1,0,1,1,0,1
378,378,0,1,1,f,00,e7,1,1,0,1,1,0,1
379,379,0,1,1,f,00,e7,1,1,0,1,1,0,1
380,380,0,1,1,f,00,e7,1,1,0,1,0,0,1
381,381,0,1,1,f,00,e7,0,1,0,1,0,0,1
382,382,0,1,1,f,00,e8,0,1,0,1,0,0,1
383,383,0,1,1,f,00,e9,0,1,0,1,0,0,1
384,384,0,1,1,f,00,ea,0,1,0,1,0,0,1
385,385,0,1,1,f,00,eb,0,1,0,1,0,0,1
386,386,0,1,1,f,00,ec,0,1,0,1,0,0,1
387,387,0,1,1,f,00,ed,0,1,0,1,0,0,1
388,388,0,1,1,f,00,ee,0,1,0,1,0,0,1
389,389,0,1,1,f,00,ef,0,1,0,1,0,0,1
390,390,0,1,1,f,00,f0,0,1,1,1,1,0,1
391,391,0,1,1,f,00,f1,1,1,0,1,1,0,1
392,392,0,1,1,f,00,f1,1,1,0,1,1,0,1
393,393,0,1,1,f,00,f1,1,1,0,1,1,0,1
394,394,0,1,1,f,00,f1,1,1,0,1,1,0,1
395,395,0,1,1,f,00,f1,1,1,0,1,1,0,1
396,396,0,1,1,f,00,f1,1,1,0,1,1,0,1
397,397,0,1,1,f,00,f1,1,1,0,1,1,0,1
398,398,0,1,1,f,00,f1,1,1,0,1,1,0,1
399,399,0,1,1,f,00,f1,1,1,0,1,1,0,1
400,400,0,1,1,f,00,f1,1,1,0,1,0,0,1
401,401,0,1,1,f,00,f1,0,1,0,1,0,0,1
402,402,0,1,1,f,00,f2,0,1,0,1,0,0,1
403,403,0,1,1,f,00,f3,0,1,0,1,0,0,1
404,404,0,1,1,f,00,f4,0,1,0,1,0,0,1
405,405,0,1,1,f,00,f5,0,1,0,1,0,0,1
406,406,0,1,1,f,00,f6,0,1,0,1,0,0,1
407,407,0,1,1,f,00,f7,0,1,0,1,0,0,1
408,408,0,1,1,f,00,f8,0,1,0,1,0,0,1
409,409,0,1,1,f,00,f9,0,1,0,1,0,0,1
410,410,0,1,1,f,00,fa,0,1,1,1,1,0,1
411,411,0,1,1,f,00,fb,1,1,0,1,1,0,1
412,412,0,1,1,f,00,fb,1,1,0,1,1,0,1
413,413,0,1,1,f,00,fb,1,1,0,1,1,0,1
414,414,0,1,1,f,00,fb,1,1,0,1,1,0,1
415,415,0,1,1,f,00,fb,1,1,0,1,1,0,1
416,416,0,1,1,f,00,fb,1,1,0,1,1,0,1
417,417,0,1,1,f,00,fb,1,1,0,1,1,0,1
418,418,0,1,1,f,00,fb,1,1,0,1,1,0,1
419,419,0,1,1,f,00,fb,1,1,0,1,1,0,1
420,420,0,1,1,f,00,fb,1,1,0,1,0,0,1
421,421,0,1,1,f,00,fb,0,1,0,1,0,0,1
422,422,0,1,1,f,00,fc,0,1,0,1,0,0,1
423,423,0,1,1,f,00,fd,0,1,0,1,0,0,1
424,424,0,1,1,f,00,fe,0,1,0,1,0,0,1
425,425,0,1,2,f,00,ff,0,1,0,1,0,0,1
426,426,0,2,2,0,00,00,0,1,0,1,0,0,1
427,427,0,2,2,0,00,01,0,1,0,1,0,0,1
428,428,0,2,2,0,00,02,0,1,0,1,0,0,1
429,429,0,2,2,0,00,03,0,1,0,1,0,0,1
430,430,0,2,2,0,00,04,0,1,0,1,1,0,1
