Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_0_axis_tvalid,top_i/system_ila_0/inst/net_slot_0_axis_tready,top_i/system_ila_0/inst/net_slot_0_axis_tlast,top_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_1_axis_tvalid,top_i/system_ila_0/inst/net_slot_1_axis_tready,top_i/system_ila_0/inst/net_slot_1_axis_tlast,top_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_2_axis_tvalid,top_i/system_ila_0/inst/net_slot_2_axis_tready,top_i/system_ila_0/inst/net_slot_2_axis_tlast,top_i/system_ila_0/inst/net_slot_3_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_3_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_3_axis_tvalid,top_i/system_ila_0/inst/net_slot_3_axis_tready,top_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(S_AXIS_0_1)[2:0],Interface_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(S_AXIS_0_1)[2:0],T_Channel_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0]
6301,6301,0,03affc27,1,1,0,fde4fe30,0,0,1,0625fb99,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6302,6302,0,049ffac4,1,1,0,fde4fe30,0,0,1,0625fb99,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6303,6303,0,fa2403e6,1,1,0,fde4fe30,0,0,1,0625fb99,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6304,6304,0,fa2403e6,0,1,0,fde4fe30,0,0,1,0e34f27c,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6305,6305,0,fa2403e6,0,1,0,fde4fe30,0,0,1,fc2bf539,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6306,6306,0,fa2403e6,0,1,0,fde4fe30,0,0,1,0ce4fb05,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6307,6307,0,0e34f27c,1,1,0,fde4fe30,0,0,1,0ce4fb05,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6308,6308,0,fc2bf539,1,1,0,fde4fe30,0,0,1,0ce4fb05,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6309,6309,0,fc2bf539,0,1,0,fde4fe30,0,0,1,0c9c0469,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6310,6310,0,fc2bf539,0,1,0,fde4fe30,0,0,1,1307f651,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6311,6311,0,fc2bf539,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6312,6312,0,0c9c0469,1,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6313,6313,0,1307f651,1,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6314,6314,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6315,6315,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6316,6316,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6317,6317,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6318,6318,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6319,6319,0,1307f651,0,1,0,fde4fe30,0,0,1,f3d462bc,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6320,6320,0,1307f651,0,1,0,fde4fe30,0,0,1,776cba86,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
